CMDLINE /home/serafina/miniconda2/envs/py310-2/bin/python random_numbers.py
MEM 0.605469 1699490611.1775
MEM 19.898438 1699490611.2778
MEM 32.710938 1699490611.3781
MEM 40.722656 1699490611.4785
MEM 51.046875 1699490611.5788
MEM 53.343750 1699490611.6795
MEM 53.343750 1699490611.7802
MEM 53.343750 1699490611.8809
MEM 53.343750 1699490611.9816
MEM 53.343750 1699490612.0823
MEM 53.343750 1699490612.1830
MEM 53.343750 1699490612.2837
MEM 53.343750 1699490612.3844
MEM 53.343750 1699490612.4851
MEM 53.343750 1699490612.5858
MEM 55.394531 1699490612.6863
MEM 57.457031 1699490612.7867
MEM 54.250000 1699490612.8872
MEM 54.250000 1699490612.9879
MEM 54.250000 1699490613.0886
MEM 54.250000 1699490613.1892
MEM 54.250000 1699490613.2899
MEM 54.250000 1699490613.3906
MEM 54.250000 1699490613.4913
MEM 54.250000 1699490613.5920
MEM 54.250000 1699490613.6927
MEM 54.250000 1699490613.7934
MEM 54.250000 1699490613.8938
MEM 54.250000 1699490613.9945
MEM 54.250000 1699490614.0952
MEM 54.250000 1699490614.1958
MEM 54.250000 1699490614.2964
MEM 54.250000 1699490614.3970
MEM 54.250000 1699490614.4976
MEM 54.250000 1699490614.5983
MEM 54.250000 1699490614.6988
MEM 54.250000 1699490614.7993
MEM 56.050781 1699490614.9013
MEM 56.050781 1699490615.0028
MEM 61.722656 1699490615.1041
MEM 61.722656 1699490615.2061
MEM 61.722656 1699490615.3071
MEM 61.722656 1699490615.4077
MEM 61.722656 1699490615.5082
MEM 61.722656 1699490615.6088
MEM 61.722656 1699490615.7094
MEM 61.722656 1699490615.8113
MEM 61.722656 1699490615.9124
MEM 61.722656 1699490616.0144
MEM 61.722656 1699490616.1164
MEM 61.722656 1699490616.2177
FUNC __main__.very_slow_random_generator 61.7227 1699490615.1083 61.7227 1699490620.1436 1
FUNC __main__.slow_random_generator 54.2500 1699490612.8601 61.7227 1699490615.1080 1
FUNC __main__.fast_random_generator 53.3438 1699490611.6017 54.2500 1699490612.8600 1
FUNC __main__.main_func 53.3438 1699490611.6015 61.7227 1699490620.1439 0
MEM 61.722656 1699490616.3184
MEM 61.722656 1699490616.4190
MEM 61.722656 1699490616.5195
MEM 61.722656 1699490616.6200
MEM 61.722656 1699490616.7206
MEM 61.722656 1699490616.8210
MEM 61.722656 1699490616.9217
MEM 61.722656 1699490617.0223
MEM 61.722656 1699490617.1233
MEM 61.722656 1699490617.2244
MEM 61.722656 1699490617.3255
MEM 61.722656 1699490617.4262
MEM 61.722656 1699490617.5268
MEM 61.722656 1699490617.6274
MEM 61.722656 1699490617.7279
MEM 61.722656 1699490617.8284
MEM 61.722656 1699490617.9290
MEM 61.722656 1699490618.0298
MEM 61.722656 1699490618.1304
MEM 61.722656 1699490618.2310
MEM 61.722656 1699490618.3317
MEM 61.722656 1699490618.4324
MEM 61.722656 1699490618.5331
MEM 61.722656 1699490618.6339
MEM 61.722656 1699490618.7347
MEM 61.722656 1699490618.8354
MEM 61.722656 1699490618.9358
MEM 61.722656 1699490619.0364
MEM 61.722656 1699490619.1371
MEM 61.722656 1699490619.2380
MEM 61.722656 1699490619.3387
MEM 61.722656 1699490619.4394
MEM 61.722656 1699490619.5401
MEM 61.722656 1699490619.6408
MEM 61.722656 1699490619.7415
MEM 61.722656 1699490619.8421
MEM 61.722656 1699490619.9426
MEM 61.722656 1699490620.0430
MEM 61.722656 1699490620.1435
MEM 61.722656 1699490620.2439
