CMDLINE /home/serafina/miniconda2/envs/py310/bin/python random_numbers.py
MEM 0.007812 1699629246.9563
MEM 17.593750 1699629247.0566
MEM 27.535156 1699629247.1570
MEM 37.093750 1699629247.2573
MEM 43.464844 1699629247.3576
MEM 51.328125 1699629247.4580
MEM 56.265625 1699629247.5585
MEM 56.265625 1699629247.6593
MEM 56.265625 1699629247.7599
MEM 56.265625 1699629247.8603
MEM 56.265625 1699629247.9606
MEM 56.265625 1699629248.0610
MEM 56.265625 1699629248.1616
MEM 56.265625 1699629248.2623
MEM 56.265625 1699629248.3630
MEM 56.265625 1699629248.4638
MEM 57.234375 1699629248.5641
MEM 57.234375 1699629248.6646
MEM 59.296875 1699629248.7649
MEM 61.101562 1699629248.8653
MEM 56.574219 1699629248.9659
MEM 56.574219 1699629249.0665
MEM 56.574219 1699629249.1672
MEM 56.574219 1699629249.2679
MEM 56.574219 1699629249.3686
MEM 56.574219 1699629249.4694
MEM 56.574219 1699629249.5700
MEM 56.574219 1699629249.6707
MEM 56.574219 1699629249.7714
MEM 56.574219 1699629249.8721
MEM 56.574219 1699629249.9728
MEM 56.574219 1699629250.0735
MEM 56.574219 1699629250.1742
MEM 56.574219 1699629250.2749
MEM 56.574219 1699629250.3755
MEM 56.574219 1699629250.4762
MEM 56.574219 1699629250.5769
MEM 56.574219 1699629250.6776
MEM 56.574219 1699629250.7783
MEM 56.574219 1699629250.8789
MEM 57.085938 1699629250.9793
MEM 59.148438 1699629251.0796
MEM 60.953125 1699629251.1800
MEM 64.046875 1699629251.2805
MEM 64.046875 1699629251.3813
MEM 64.046875 1699629251.4819
MEM 64.046875 1699629251.5826
MEM 64.046875 1699629251.6833
MEM 64.046875 1699629251.7839
MEM 64.046875 1699629251.8847
MEM 64.046875 1699629251.9855
FUNC __main__.very_slow_random_generator 64.0469 1699629251.2123 64.0469 1699629256.2320 1
FUNC __main__.slow_random_generator 56.5742 1699629248.9012 64.0469 1699629251.2122 1
FUNC __main__.fast_random_generator 56.2656 1699629247.4964 56.5742 1699629248.9012 1
FUNC __main__.main_func 55.6406 1699629247.4963 64.0469 1699629256.2321 0
MEM 64.046875 1699629252.0863
MEM 64.046875 1699629252.1870
MEM 64.046875 1699629252.2877
MEM 64.046875 1699629252.3884
MEM 64.046875 1699629252.4890
MEM 64.046875 1699629252.5898
MEM 64.046875 1699629252.6905
MEM 64.046875 1699629252.7911
MEM 64.046875 1699629252.8917
MEM 64.046875 1699629252.9925
MEM 64.046875 1699629253.0934
MEM 64.046875 1699629253.1941
MEM 64.046875 1699629253.2947
MEM 64.046875 1699629253.3954
MEM 64.046875 1699629253.4961
MEM 64.046875 1699629253.5968
MEM 64.046875 1699629253.6972
MEM 64.046875 1699629253.7978
MEM 64.046875 1699629253.8986
MEM 64.046875 1699629253.9992
MEM 64.046875 1699629254.0999
MEM 64.046875 1699629254.2006
MEM 64.046875 1699629254.3012
MEM 64.046875 1699629254.4019
MEM 64.046875 1699629254.5026
MEM 64.046875 1699629254.6034
MEM 64.046875 1699629254.7041
MEM 64.046875 1699629254.8048
MEM 64.046875 1699629254.9056
MEM 64.046875 1699629255.0063
MEM 64.046875 1699629255.1071
MEM 64.046875 1699629255.2079
MEM 64.046875 1699629255.3087
MEM 64.046875 1699629255.4095
MEM 64.046875 1699629255.5104
MEM 64.046875 1699629255.6111
MEM 64.046875 1699629255.7117
MEM 64.046875 1699629255.8123
MEM 64.046875 1699629255.9131
MEM 64.046875 1699629256.0138
MEM 64.046875 1699629256.1143
MEM 64.046875 1699629256.2150
MEM 64.046875 1699629256.3156
